Team,A Move,Gravy,Outer,Low,Missed NEG,Gravy,High,Low ,Missed NEG,Rotation,Position,Climbed,Climb Tik NEG,Z-score FINAL
294,0.4071725355,0.1636263526,0.6851815596,-0.1739352611,0,0.3185390784,5.746581952,-0.3241099281,0,0,0,0.8081220356,-0.2677228545,7.363455471
399,-0.6665026623,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,-0.2033844179,0,0,0,-0.7071067812,0.03451402385,-5.802756555
812,0.4071725355,-0.5138173316,-0.7310024104,1.615113139,0,-1.502465438,-1.05936003,0.5037221413,0,0,0,-0.7071067812,0.01234220652,-1.97540197
968,-0.8198848334,-0.5138173316,-0.6129870796,-0.1739352611,0,-1.502465438,-1.339056276,-0.3241099281,0,0,0,-0.7071067812,0.8525373896,-5.14082554
1159,0.4071725355,0.1636263526,0.2131202363,-0.1739352611,0,-0.2884624272,0.432353281,-0.2551239223,0,0,0,0.8081220356,-0.5011104053,0.8057624251
1266,-1.024394395,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,-0.3241099281,0,0,0,-0.7071067812,0.4266051093,-5.889282713
1572,0.4071725355,-0.5138173316,0.4048951489,-0.1739352611,0,-0.971339121,0.7819735883,-0.263747173,0,0,0,-0.1767766953,0.7778533733,0.2722790639
1622,-0.3086109297,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,-0.3241099281,0,0,0,-0.7071067812,1.186281587,-4.413822769
2240,0.04928080291,3.042762011,0.5081585634,-0.1739352611,0,2.746545101,-0.03380712882,-0.3241099281,0,0,0,0.3535533906,-0.194205776,5.974241774
2437,-0.001846587463,-0.5138173316,-0.7310024104,0.7205889389,0,-1.502465438,-1.339056276,2.780260332,0,0,0,-0.4040610178,0.5071238143,-0.4842759766
2443,0.04928080291,0.6717091158,0.7146853924,-0.1739352611,0,0.6220398312,0.7003955166,-0.3241099281,0,0,0,0.8838834765,-0.2595542902,2.884394656
2485,0.4071725355,0.8410700369,0.5671662288,-0.1739352611,0,-0.8954639328,0.1526570351,-0.3241099281,0,0,0,0.5050762723,-1.126589042,-0.04695605508
2543,-0.6665026623,-0.5138173316,0.6114219779,-0.1739352611,0,-0.971339121,-1.094322061,-0.3241099281,0,0,0,-0.7071067812,0.01817689529,-3.821534273
2658,0.4071725355,1.264472339,1.231002465,-0.1739352611,0,1.153166149,3.474049955,-0.3241099281,0,,0,0.6187184335,-0.00632879755,7.64420789
